group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gemm multi core,,,,,194148959.0,ns,1
gemm multi core,,,,,190739769.0,ns,1
gemm multi core,,,,,190181746.0,ns,1
gemm multi core,,,,,189970204.0,ns,1
gemm multi core,,,,,189362431.0,ns,1
gemm multi core,,,,,190638969.0,ns,1
gemm multi core,,,,,188281834.0,ns,1
gemm multi core,,,,,188256204.0,ns,1
gemm multi core,,,,,192082248.0,ns,1
gemm multi core,,,,,189493561.0,ns,1
gemm multi core,,,,,193091653.0,ns,1
gemm multi core,,,,,195712309.0,ns,1
gemm multi core,,,,,188356204.0,ns,1
gemm multi core,,,,,187943123.0,ns,1
gemm multi core,,,,,188181974.0,ns,1
gemm multi core,,,,,189522412.0,ns,1
gemm multi core,,,,,188101502.0,ns,1
gemm multi core,,,,,188479416.0,ns,1
gemm multi core,,,,,187952802.0,ns,1
gemm multi core,,,,,187913812.0,ns,1
gemm multi core,,,,,188177324.0,ns,1
gemm multi core,,,,,188079743.0,ns,1
gemm multi core,,,,,187881552.0,ns,1
gemm multi core,,,,,187898572.0,ns,1
gemm multi core,,,,,187746031.0,ns,1
gemm multi core,,,,,187996012.0,ns,1
gemm multi core,,,,,188154964.0,ns,1
gemm multi core,,,,,188637486.0,ns,1
gemm multi core,,,,,187985693.0,ns,1
gemm multi core,,,,,189371980.0,ns,1
gemm multi core,,,,,187897412.0,ns,1
gemm multi core,,,,,189772633.0,ns,1
gemm multi core,,,,,187942552.0,ns,1
gemm multi core,,,,,187989203.0,ns,1
gemm multi core,,,,,187961832.0,ns,1
gemm multi core,,,,,188105903.0,ns,1
gemm multi core,,,,,188018422.0,ns,1
gemm multi core,,,,,187978973.0,ns,1
gemm multi core,,,,,188080813.0,ns,1
gemm multi core,,,,,187678340.0,ns,1
gemm multi core,,,,,188112583.0,ns,1
gemm multi core,,,,,188050983.0,ns,1
gemm multi core,,,,,187850012.0,ns,1
gemm multi core,,,,,187963422.0,ns,1
gemm multi core,,,,,188099473.0,ns,1
gemm multi core,,,,,188105923.0,ns,1
gemm multi core,,,,,188017842.0,ns,1
gemm multi core,,,,,187981413.0,ns,1
gemm multi core,,,,,191185311.0,ns,1
gemm multi core,,,,,188539765.0,ns,1
gemm multi core,,,,,187719511.0,ns,1
gemm multi core,,,,,187979682.0,ns,1
gemm multi core,,,,,187889282.0,ns,1
gemm multi core,,,,,190688438.0,ns,1
gemm multi core,,,,,188191044.0,ns,1
gemm multi core,,,,,187975992.0,ns,1
gemm multi core,,,,,195943359.0,ns,1
gemm multi core,,,,,187434560.0,ns,1
gemm multi core,,,,,188372174.0,ns,1
gemm multi core,,,,,188238553.0,ns,1
gemm multi core,,,,,189723033.0,ns,1
gemm multi core,,,,,188055913.0,ns,1
gemm multi core,,,,,188014242.0,ns,1
gemm multi core,,,,,187903441.0,ns,1
gemm multi core,,,,,188058823.0,ns,1
gemm multi core,,,,,188077963.0,ns,1
gemm multi core,,,,,190705878.0,ns,1
gemm multi core,,,,,188147203.0,ns,1
gemm multi core,,,,,187759501.0,ns,1
gemm multi core,,,,,189348220.0,ns,1
gemm multi core,,,,,189922794.0,ns,1
gemm multi core,,,,,188115873.0,ns,1
gemm multi core,,,,,187473359.0,ns,1
gemm multi core,,,,,187669040.0,ns,1
gemm multi core,,,,,187486509.0,ns,1
gemm multi core,,,,,196735474.0,ns,1
gemm multi core,,,,,187898402.0,ns,1
gemm multi core,,,,,189619831.0,ns,1
gemm multi core,,,,,187883912.0,ns,1
gemm multi core,,,,,187863611.0,ns,1
gemm multi core,,,,,187607300.0,ns,1
gemm multi core,,,,,189348540.0,ns,1
gemm multi core,,,,,189705442.0,ns,1
gemm multi core,,,,,187924731.0,ns,1
gemm multi core,,,,,188181564.0,ns,1
gemm multi core,,,,,187953281.0,ns,1
gemm multi core,,,,,187878132.0,ns,1
gemm multi core,,,,,188271794.0,ns,1
gemm multi core,,,,,187514359.0,ns,1
gemm multi core,,,,,188364524.0,ns,1
gemm multi core,,,,,188385574.0,ns,1
gemm multi core,,,,,187676140.0,ns,1
gemm multi core,,,,,187876901.0,ns,1
gemm multi core,,,,,188477065.0,ns,1
gemm multi core,,,,,188143813.0,ns,1
gemm multi core,,,,,188256804.0,ns,1
gemm multi core,,,,,188002092.0,ns,1
gemm multi core,,,,,188398374.0,ns,1
gemm multi core,,,,,187827391.0,ns,1
gemm multi core,,,,,187997032.0,ns,1
