group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gemm single core,,,,,582348767.0,ns,1
gemm single core,,,,,581011520.0,ns,1
gemm single core,,,,,581166039.0,ns,1
gemm single core,,,,,582392618.0,ns,1
gemm single core,,,,,581689513.0,ns,1
gemm single core,,,,,581961694.0,ns,1
gemm single core,,,,,580476456.0,ns,1
gemm single core,,,,,582773409.0,ns,1
gemm single core,,,,,582836209.0,ns,1
gemm single core,,,,,579581860.0,ns,1
gemm single core,,,,,580584096.0,ns,1
gemm single core,,,,,580058553.0,ns,1
gemm single core,,,,,579809441.0,ns,1
gemm single core,,,,,579780941.0,ns,1
gemm single core,,,,,580547035.0,ns,1
gemm single core,,,,,581027658.0,ns,1
gemm single core,,,,,596193919.0,ns,1
gemm single core,,,,,594329057.0,ns,1
gemm single core,,,,,605877677.0,ns,1
gemm single core,,,,,593114810.0,ns,1
gemm single core,,,,,581738822.0,ns,1
gemm single core,,,,,579233186.0,ns,1
gemm single core,,,,,579950771.0,ns,1
gemm single core,,,,,580585835.0,ns,1
gemm single core,,,,,581954942.0,ns,1
gemm single core,,,,,581711212.0,ns,1
gemm single core,,,,,580532374.0,ns,1
gemm single core,,,,,578869444.0,ns,1
gemm single core,,,,,577577486.0,ns,1
gemm single core,,,,,579103496.0,ns,1
gemm single core,,,,,578275600.0,ns,1
gemm single core,,,,,579449267.0,ns,1
gemm single core,,,,,579735459.0,ns,1
gemm single core,,,,,578011558.0,ns,1
gemm single core,,,,,580884256.0,ns,1
gemm single core,,,,,578533421.0,ns,1
gemm single core,,,,,579056474.0,ns,1
gemm single core,,,,,578536752.0,ns,1
gemm single core,,,,,579323896.0,ns,1
gemm single core,,,,,586681369.0,ns,1
gemm single core,,,,,580223851.0,ns,1
gemm single core,,,,,577356204.0,ns,1
gemm single core,,,,,578337059.0,ns,1
gemm single core,,,,,577970288.0,ns,1
gemm single core,,,,,579155364.0,ns,1
gemm single core,,,,,577837786.0,ns,1
gemm single core,,,,,577088762.0,ns,1
gemm single core,,,,,579980479.0,ns,1
gemm single core,,,,,578608151.0,ns,1
gemm single core,,,,,577760796.0,ns,1
gemm single core,,,,,578622200.0,ns,1
gemm single core,,,,,579165554.0,ns,1
gemm single core,,,,,578509069.0,ns,1
gemm single core,,,,,577818276.0,ns,1
gemm single core,,,,,577685715.0,ns,1
gemm single core,,,,,578381878.0,ns,1
gemm single core,,,,,578857572.0,ns,1
gemm single core,,,,,577743995.0,ns,1
gemm single core,,,,,578278597.0,ns,1
gemm single core,,,,,578675670.0,ns,1
gemm single core,,,,,577054621.0,ns,1
gemm single core,,,,,579587536.0,ns,1
gemm single core,,,,,579570995.0,ns,1
gemm single core,,,,,577502872.0,ns,1
gemm single core,,,,,578139327.0,ns,1
gemm single core,,,,,578048176.0,ns,1
gemm single core,,,,,579034682.0,ns,1
gemm single core,,,,,576803758.0,ns,1
gemm single core,,,,,579723186.0,ns,1
gemm single core,,,,,580838562.0,ns,1
gemm single core,,,,,579281323.0,ns,1
gemm single core,,,,,578722599.0,ns,1
gemm single core,,,,,579432833.0,ns,1
gemm single core,,,,,581429856.0,ns,1
gemm single core,,,,,583129416.0,ns,1
gemm single core,,,,,583219786.0,ns,1
gemm single core,,,,,581755207.0,ns,1
gemm single core,,,,,581753477.0,ns,1
gemm single core,,,,,581260134.0,ns,1
gemm single core,,,,,579472213.0,ns,1
gemm single core,,,,,580350958.0,ns,1
gemm single core,,,,,580556660.0,ns,1
gemm single core,,,,,579256652.0,ns,1
gemm single core,,,,,580811200.0,ns,1
gemm single core,,,,,579571824.0,ns,1
gemm single core,,,,,579279142.0,ns,1
gemm single core,,,,,581333713.0,ns,1
gemm single core,,,,,577434960.0,ns,1
gemm single core,,,,,579140941.0,ns,1
gemm single core,,,,,579509553.0,ns,1
gemm single core,,,,,579230881.0,ns,1
gemm single core,,,,,580103046.0,ns,1
gemm single core,,,,,579846594.0,ns,1
gemm single core,,,,,577703652.0,ns,1
gemm single core,,,,,581554944.0,ns,1
gemm single core,,,,,582483060.0,ns,1
gemm single core,,,,,584056489.0,ns,1
gemm single core,,,,,582799772.0,ns,1
gemm single core,,,,,582657001.0,ns,1
gemm single core,,,,,582079337.0,ns,1
