group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi-core-group,gemm - multi core,,,,134215335.0,ns,3
multi-core-group,gemm - multi core,,,,132838161.0,ns,3
multi-core-group,gemm - multi core,,,,132879640.0,ns,3
multi-core-group,gemm - multi core,,,,133263252.0,ns,3
multi-core-group,gemm - multi core,,,,132768339.0,ns,3
multi-core-group,gemm - multi core,,,,132987131.0,ns,3
multi-core-group,gemm - multi core,,,,133547313.0,ns,3
multi-core-group,gemm - multi core,,,,133443572.0,ns,3
multi-core-group,gemm - multi core,,,,136601153.0,ns,3
multi-core-group,gemm - multi core,,,,132731569.0,ns,3
multi-core-group,gemm - multi core,,,,132684570.0,ns,3
multi-core-group,gemm - multi core,,,,133752604.0,ns,3
multi-core-group,gemm - multi core,,,,132903080.0,ns,3
multi-core-group,gemm - multi core,,,,133009941.0,ns,3
multi-core-group,gemm - multi core,,,,132814869.0,ns,3
multi-core-group,gemm - multi core,,,,133019271.0,ns,3
multi-core-group,gemm - multi core,,,,133143622.0,ns,3
multi-core-group,gemm - multi core,,,,135697489.0,ns,3
multi-core-group,gemm - multi core,,,,133092191.0,ns,3
multi-core-group,gemm - multi core,,,,133499053.0,ns,3
multi-core-group,gemm - multi core,,,,132908360.0,ns,3
multi-core-group,gemm - multi core,,,,132868760.0,ns,3
multi-core-group,gemm - multi core,,,,135887051.0,ns,3
multi-core-group,gemm - multi core,,,,135904000.0,ns,3
multi-core-group,gemm - multi core,,,,133244262.0,ns,3
multi-core-group,gemm - multi core,,,,132747180.0,ns,3
multi-core-group,gemm - multi core,,,,132840559.0,ns,3
multi-core-group,gemm - multi core,,,,133063331.0,ns,3
multi-core-group,gemm - multi core,,,,132995520.0,ns,3
multi-core-group,gemm - multi core,,,,133262592.0,ns,3
multi-core-group,gemm - multi core,,,,134251114.0,ns,3
multi-core-group,gemm - multi core,,,,133303802.0,ns,3
multi-core-group,gemm - multi core,,,,133029221.0,ns,3
multi-core-group,gemm - multi core,,,,132732939.0,ns,3
multi-core-group,gemm - multi core,,,,132686510.0,ns,3
multi-core-group,gemm - multi core,,,,133166461.0,ns,3
multi-core-group,gemm - multi core,,,,133462452.0,ns,3
multi-core-group,gemm - multi core,,,,132953710.0,ns,3
multi-core-group,gemm - multi core,,,,133072041.0,ns,3
multi-core-group,gemm - multi core,,,,132869680.0,ns,3
multi-core-group,gemm - multi core,,,,133088061.0,ns,3
multi-core-group,gemm - multi core,,,,132888420.0,ns,3
multi-core-group,gemm - multi core,,,,133057971.0,ns,3
multi-core-group,gemm - multi core,,,,134444745.0,ns,3
multi-core-group,gemm - multi core,,,,133532262.0,ns,3
multi-core-group,gemm - multi core,,,,133201381.0,ns,3
multi-core-group,gemm - multi core,,,,132973230.0,ns,3
multi-core-group,gemm - multi core,,,,133049791.0,ns,3
multi-core-group,gemm - multi core,,,,133027861.0,ns,3
multi-core-group,gemm - multi core,,,,133863753.0,ns,3
