group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi-core-group,gemm - multi core,,,,119760301.0,ns,5
multi-core-group,gemm - multi core,,,,117907159.0,ns,5
multi-core-group,gemm - multi core,,,,119832116.0,ns,5
multi-core-group,gemm - multi core,,,,117719365.0,ns,5
multi-core-group,gemm - multi core,,,,118830843.0,ns,5
multi-core-group,gemm - multi core,,,,118125639.0,ns,5
multi-core-group,gemm - multi core,,,,118457653.0,ns,5
multi-core-group,gemm - multi core,,,,117878245.0,ns,5
multi-core-group,gemm - multi core,,,,118459530.0,ns,5
multi-core-group,gemm - multi core,,,,118221135.0,ns,5
multi-core-group,gemm - multi core,,,,118605266.0,ns,5
multi-core-group,gemm - multi core,,,,118636819.0,ns,5
multi-core-group,gemm - multi core,,,,118815661.0,ns,5
multi-core-group,gemm - multi core,,,,119054233.0,ns,5
multi-core-group,gemm - multi core,,,,118449698.0,ns,5
multi-core-group,gemm - multi core,,,,120377481.0,ns,5
multi-core-group,gemm - multi core,,,,117455526.0,ns,5
multi-core-group,gemm - multi core,,,,118668140.0,ns,5
multi-core-group,gemm - multi core,,,,118310911.0,ns,5
multi-core-group,gemm - multi core,,,,118659795.0,ns,5
multi-core-group,gemm - multi core,,,,117854591.0,ns,5
multi-core-group,gemm - multi core,,,,118740463.0,ns,5
multi-core-group,gemm - multi core,,,,118593243.0,ns,5
multi-core-group,gemm - multi core,,,,118345904.0,ns,5
multi-core-group,gemm - multi core,,,,117710846.0,ns,5
multi-core-group,gemm - multi core,,,,118699115.0,ns,5
multi-core-group,gemm - multi core,,,,118322406.0,ns,5
multi-core-group,gemm - multi core,,,,119041813.0,ns,5
multi-core-group,gemm - multi core,,,,117550244.0,ns,5
multi-core-group,gemm - multi core,,,,118514589.0,ns,5
multi-core-group,gemm - multi core,,,,117620235.0,ns,5
multi-core-group,gemm - multi core,,,,118213422.0,ns,5
multi-core-group,gemm - multi core,,,,118636369.0,ns,5
multi-core-group,gemm - multi core,,,,118756129.0,ns,5
multi-core-group,gemm - multi core,,,,118581984.0,ns,5
multi-core-group,gemm - multi core,,,,117884123.0,ns,5
multi-core-group,gemm - multi core,,,,118293403.0,ns,5
multi-core-group,gemm - multi core,,,,117753942.0,ns,5
multi-core-group,gemm - multi core,,,,119918867.0,ns,5
multi-core-group,gemm - multi core,,,,118141405.0,ns,5
multi-core-group,gemm - multi core,,,,118847512.0,ns,5
multi-core-group,gemm - multi core,,,,117723137.0,ns,5
multi-core-group,gemm - multi core,,,,118429793.0,ns,5
multi-core-group,gemm - multi core,,,,117800517.0,ns,5
multi-core-group,gemm - multi core,,,,118619909.0,ns,5
multi-core-group,gemm - multi core,,,,118503949.0,ns,5
multi-core-group,gemm - multi core,,,,118086433.0,ns,5
multi-core-group,gemm - multi core,,,,117823180.0,ns,5
multi-core-group,gemm - multi core,,,,118306212.0,ns,5
multi-core-group,gemm - multi core,,,,118739469.0,ns,5
