group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single-core-group,gemm - single core - extracted variable,,,,581168996.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,580818265.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,581290926.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,581714528.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,580837965.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,581377546.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,581660307.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,581915868.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,581091145.0,ns,3
single-core-group,gemm - single core - extracted variable,,,,581300735.0,ns,3
