group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single-core-group,gemm - single core - no extract,,,,682192017.0,ns,1
single-core-group,gemm - single core - no extract,,,,681114373.0,ns,1
single-core-group,gemm - single core - no extract,,,,681070761.0,ns,1
single-core-group,gemm - single core - no extract,,,,681187371.0,ns,1
single-core-group,gemm - single core - no extract,,,,681066840.0,ns,1
single-core-group,gemm - single core - no extract,,,,681123170.0,ns,1
single-core-group,gemm - single core - no extract,,,,681110938.0,ns,1
single-core-group,gemm - single core - no extract,,,,681027106.0,ns,1
single-core-group,gemm - single core - no extract,,,,680920297.0,ns,1
single-core-group,gemm - single core - no extract,,,,680975725.0,ns,1
